type,id,URL,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
article,3130911,https://dl.acm.org/citation.cfm?id=3130911,Nediyana  Daskalova and Karthik  Desingh and Alexandra  Papoutsaki and Diane  Schulze and Han  Sha and Jeff  Huang,,,,Lessons Learned from Two Cohorts of Personal Informatics Self-Experiments,46:1--46:22,46,22,"personal informatics, quantified self, self-tracking",10.1145/3130911,Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,17-Sep,1,3,,September,2017,2474-9567,,,,,,ACM,"New York, NY, USA"
article,3134671,https://dl.acm.org/citation.cfm?id=3134671,Mayara  Costa Figueiredo and Clara  Caldeira and Tera L. Reynolds and Sean  Victory and Kai  Zheng and Yunan  Chen,,,,Self-Tracking for Fertility Care: Collaborative Support for a Highly Personalized Problem,36:1--36:21,36,21,"fertility care, personal informatics, self-tracking",10.1145/3134671,Proc. ACM Hum.-Comput. Interact.,17-Nov,1,CSCW,,December,2017,2573-0142,,,,,,ACM,"New York, NY, USA"
article,2702154,https://dl.acm.org/citation.cfm?id=2702154,Felicia  Cordeiro and Elizabeth  Bales and Erin  Cherry and James  Fogarty,,,,Rethinking the Mobile Food Journal: Exploring Opportunities for Lightweight Photo-Based Capture,3207--3216,,10,"food journals, personal informatics, photos, self-tracking",10.1145/2702123.2702154,,,,,,,2015,,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,CHI '15,,978-1-4503-3145-6,"Seoul, Republic of Korea",ACM,"New York, NY, USA"
article,2466467,https://dl.acm.org/citation.cfm?id=2466467,Vera  Khovanskaya and Eric P.S. Baumer and Dan  Cosley and Stephen  Voida and Geri  Gay,,,,Everybody Knows What You'Re Doing: A Critical Design Approach to Personal Informatics,3403--3412,,10,"critical design, design strategies, personal informatics",10.1145/2470654.2466467,,,,,,,2013,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '13,,978-1-4503-1899-0,"Paris, France",ACM,"New York, NY, USA"
article,2481345,https://dl.acm.org/citation.cfm?id=2481345,Shaun  Lawson and Sue  Jamison-Powell and Andrew  Garbett and Conor  Linehan and Erica  Kucharczyk and Sanne  Verbaan and Duncan A. Rowland and Kevin  Morgan,,,,"Validating a Mobile Phone Application for the Everyday, Unobtrusive, Objective Measurement of Sleep",2497--2506,,10,"insomnia, mobile computing, personal informatics, sleep",10.1145/2470654.2481345,,,,,,,2013,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '13,,978-1-4503-1899-0,"Paris, France",ACM,"New York, NY, USA"
article,2384996,https://dl.acm.org/citation.cfm?id=2384996,Jasmine  Jones and Steven  Hall and Mieke  Gentis and Carrie  Reynolds and Chitra  Gadwal and Amy  Hurst and Judah  Ronch and Callie  Neylan,,,,Visualizations for Self-reflection on Mouse Pointer Performance for Older Adults,287--288,,2,"older adults, personal informatics, pointing, reflection",10.1145/2384916.2384996,,,,,,,2012,,Proceedings of the 14th International ACM SIGACCESS Conference on Computers and Accessibility,ASSETS '12,,978-1-4503-1321-6,"Boulder, Colorado, USA",ACM,"New York, NY, USA"
article,2541070,https://dl.acm.org/citation.cfm?id=2541070,Rafael A. Calvo and Dorian  Peters,,,,The Irony and Re-interpretation of Our Quantified Self,367--370,,4,"life logging, personal informatics, quantified self",10.1145/2541016.2541070,,,,,,,2013,,"Proceedings of the 25th Australian Computer-Human Interaction Conference: Augmentation, Application, Innovation, Collaboration",OzCHI '13,,978-1-4503-2525-7,"Adelaide, Australia",ACM,"New York, NY, USA"
article,3124456,https://dl.acm.org/citation.cfm?id=3124456,Amon  Rapp and Federica  Cena and Judy  Kay and Bob  Kummerfeld and Frank  Hopfgartner and Till  Plumbaum and Jakob Eg Larsen and Daniel A. Epstein and R&#250;ben  Gouveia,,,,New Frontiers of Quantified Self 3: Exploring Understudied Categories of Users,861--864,,4,"personal informatics, quantified self, self-tracking",10.1145/3123024.3124456,,,,,,,2017,,Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers,UbiComp '17,,978-1-4503-5190-4,"Maui, Hawaii",ACM,"New York, NY, USA"
article,2858360,https://dl.acm.org/citation.cfm?id=2858360,Xiaoyi  Zhang and Laura R. Pina and James  Fogarty,,,,Examining Unlock Journaling with Diaries and Reminders for In Situ Self-Report in Health and Wellness,5658--5664,,7,"experience sampling, personal informatics, self-tracking",10.1145/2858036.2858360,,,,,,,2016,,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems,CHI '16,,978-1-4503-3362-7,"San Jose, California, USA",ACM,"New York, NY, USA"
article,2971656,https://dl.acm.org/citation.cfm?id=2971656,Daniel A. Epstein and Jennifer H. Kang and Laura R. Pina and James  Fogarty and Sean A. Munson,,,,Reconsidering the Device in the Drawer: Lapses As a Design Opportunity in Personal Informatics,829--840,,12,"abandonment, lapsing, personal informatics, re-engagement",10.1145/2971648.2971656,,,,,,,2016,,Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing,UbiComp '16,,978-1-4503-4461-6,"Heidelberg, Germany",ACM,"New York, NY, USA"
article,3025686,https://dl.acm.org/citation.cfm?id=3025686,Caleb  Southern and Yunnuo  Cheng and Cheng  Zhang and Gregory D. Abowd,,,,Understanding the Cost of Driving Trips,430--434,,5,"driving, mode choice, personal informatics, transportation",10.1145/3025453.3025686,,,,,,,2017,,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems,CHI '17,,978-1-4503-4655-9,"Denver, Colorado, USA",ACM,"New York, NY, USA"
article,3025804,https://dl.acm.org/citation.cfm?id=3025804,Aare  Puussaar and Adrian K. Clear and Peter  Wright,,,,Enhancing Personal Informatics Through Social Sensemaking,6936--6942,,7,"data sharing, personal informatics, social sensemaking",10.1145/3025453.3025804,,,,,,,2017,,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems,CHI '17,,978-1-4503-4655-9,"Denver, Colorado, USA",ACM,"New York, NY, USA"
article,3173701,https://dl.acm.org/citation.cfm?id=3173701,Yuhan  Luo and Bongshin  Lee and Donghee Yvette  Wohn and Amanda L. Rebar and David E. Conroy and Eun Kyoung  Choe,,,,Time for Break: Understanding Information Workers' Sedentary Behavior Through a Break Prompting System,127:1--127:14,127,14,"break, information workers, personal informatics, sedentary behavior, workplace setting",10.1145/3173574.3173701,,,,,,,2018,,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,CHI '18,,978-1-4503-5620-6,"Montreal QC, Canada",ACM,"New York, NY, USA"
article,2971542,https://dl.acm.org/citation.cfm?id=2971542,Adrian  Bussone and Simone  Stumpf and George  Buchanan,,,,It Feels Like I'm Managing Myself: HIV+ People Tracking Their Personal Health Information,55:1--55:10,55,10,"HIV, Personal health informatics, model, personal informatics, self-management",10.1145/2971485.2971542,,,,,,,2016,,Proceedings of the 9th Nordic Conference on Human-Computer Interaction,NordiCHI '16,,978-1-4503-4763-1,"Gothenburg, Sweden",ACM,"New York, NY, USA"
article,3125508,https://dl.acm.org/citation.cfm?id=3125508,Ada S. Kim,,,,Quantified Self Meets Perceptual Learning: How to Brew a Cup of Tea,887--892,,6,"learning through practice, perceptual learning, personal informatics, quantified self, tea",10.1145/3123024.3125508,,,,,,,2017,,Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers,UbiComp '17,,978-1-4503-5190-4,"Maui, Hawaii",ACM,"New York, NY, USA"
article,2686668,https://dl.acm.org/citation.cfm?id=2686668,Emily I. M. Collins and Anna L. Cox and Jon  Bird and Cassie  Cornish-Tresstail,,,,Barriers to Engagement with a Personal Informatics Productivity Tool,370--379,,10,"barriers, engagement, personal informatics tools, productivity, social networking, stress",10.1145/2686612.2686668,,,,,,,2014,,Proceedings of the 26th Australian Computer-Human Interaction Conference on Designing Futures: The Future of Design,OzCHI '14,,978-1-4503-0653-9,"Sydney, New South Wales, Australia",ACM,"New York, NY, USA"
article,3174112,https://dl.acm.org/citation.cfm?id=3174112,Pooja M. Desai and Matthew E. Levine and David J. Albers and Lena  Mamykina,,,,Pictures Worth a Thousand Words: Reflections on Visualizing Personal Blood Glucose Forecasts for Individuals with Type 2 Diabetes,538:1--538:13,538,13,"diabetes, health and wellness, health communication, personal informatics, visualization",10.1145/3173574.3174112,,,,,,,2018,,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,CHI '18,,978-1-4503-5620-6,"Montreal QC, Canada",ACM,"New York, NY, USA"
article,2634259,https://dl.acm.org/citation.cfm?id=2634259,Anna L. Cox and Jon  Bird and Natasha  Mauthner and Susan  Dray and Anicia  Peters and Emily  Collins,,,,Socio-technical Practices and Work-home Boundaries,581--584,,4,"hci, leisure, personal informatics, wellbeing, work, work home boundary management",10.1145/2628363.2634259,,,,,,,2014,,Proceedings of the 16th International Conference on Human-computer Interaction with Mobile Devices &#38; Services,MobileHCI '14,,978-1-4503-3004-6,"Toronto, ON, Canada",ACM,"New York, NY, USA"
article,1971673,https://dl.acm.org/citation.cfm?id=1971673,Norbert  Gy&#337;rb&#237;r&#243; and Henry  Larkin and Michael  Cohen,,,,Spaced Repetition Tool for Improving Long-term Memory Retention and Recall of Collected Personal Experiences,124--125,,2,"experience design, memory cue, personal informatics, positive psychology, spaced repetition",10.1145/1971630.1971673,,,,,,,2010,,Proceedings of the 7th International Conference on Advances in Computer Entertainment Technology,ACE '10,,978-1-60558-863-6,"Taipei, Taiwan",ACM,"New York, NY, USA"
article,2493433,https://dl.acm.org/citation.cfm?id=2493433,Daniel A. Epstein and Alan  Borning and James  Fogarty,,,,Fine-grained Sharing of Sensed Physical Activity: A Value Sensitive Approach,489--498,,10,"personal informatics, physical activity sensing, social sharing, value sensitive design",10.1145/2493432.2493433,,,,,,,2013,,Proceedings of the 2013 ACM International Joint Conference on Pervasive and Ubiquitous Computing,UbiComp '13,,978-1-4503-1770-2,"Zurich, Switzerland",ACM,"New York, NY, USA"
article,3001920,https://dl.acm.org/citation.cfm?id=3001920,Ntwa  Katule and Ulrike  Rivett and Melissa  Densmore,,,,A Family Health App: Engaging Children to Manage Wellness of Adults,7:1--7:10,7,10,"HCI4D, ICTD, gamification, health, intermediaries, personal informatics, persuasive technologies",10.1145/3001913.3001920,,,,,,,2016,,Proceedings of the 7th Annual Symposium on Computing for Development,ACM DEV '16,,978-1-4503-4649-8,"Nairobi, Kenya",ACM,"New York, NY, USA"
article,2957293,https://dl.acm.org/citation.cfm?id=2957293,Lisa  Graham and Anthony  Tang and Carman  Neustaedter,,,,Help Me Help You: Shared Reflection for Personal Data,99--109,,11,"personal data analytics, personal informatics, reflection, shared reflection",10.1145/2957276.2957293,,,,,,,2016,,Proceedings of the 19th International Conference on Supporting Group Work,GROUP '16,,978-1-4503-4276-6,"Sanibel Island, Florida, USA",ACM,"New York, NY, USA"
article,2901803,https://dl.acm.org/citation.cfm?id=2901803,Rebecca  Gulotta and Jodi  Forlizzi and Rayoung  Yang and Mark Wah Newman,,,,Fostering Engagement with Personal Informatics Systems,286--300,,15,"activity trackers, fitness, health, personal informatics, personalization, reflection, self-tracking",10.1145/2901790.2901803,,,,,,,2016,,Proceedings of the 2016 ACM Conference on Designing Interactive Systems,DIS '16,,978-1-4503-4031-1,"Brisbane, QLD, Australia",ACM,"New York, NY, USA"
article,3025516,https://dl.acm.org/citation.cfm?id=3025516,Petr  Slov&#225;k and Christopher  Frauenberger and Geraldine  Fitzpatrick,,,,Reflective Practicum: A Framework of Sensitising Concepts to Design for Transformative Reflection,2696--2707,,12,"personal informatics, reflection, reflective informatics, sel, social-emotional skills",10.1145/3025453.3025516,,,,,,,2017,,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems,CHI '17,,978-1-4503-4655-9,"Denver, Colorado, USA",ACM,"New York, NY, USA"
article,3174146,https://dl.acm.org/citation.cfm?id=3174146,Kwangyoung  Lee and Hwajung  Hong,,,,MindNavigator: Exploring the Stress and Self-Interventions for Mental Wellness,572:1--572:14,572,14,"lived informatics, mental wellness, personal informatics, self-tracking, stress management",10.1145/3173574.3174146,,,,,,,2018,,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,CHI '18,,978-1-4503-5620-6,"Montreal QC, Canada",ACM,"New York, NY, USA"
article,2702284,https://dl.acm.org/citation.cfm?id=2702284,Eva  Ganglbauer and Geraldine  Fitzpatrick and Florian  G&#252;ldenpfennig,,,,Why and What Did We Throw out?: Probing on Reflection Through the Food Waste Diary,1105--1114,,10,"food and interaction design, food waste, personal informatics, reflection, sustainability",10.1145/2702123.2702284,,,,,,,2015,,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,CHI '15,,978-1-4503-3145-6,"Seoul, Republic of Korea",ACM,"New York, NY, USA"
article,2971754,https://dl.acm.org/citation.cfm?id=2971754,R&#250;ben  Gouveia and F&#225;bio  Pereira and Evangelos  Karapanos and Sean A. Munson and Marc  Hassenzahl,,,,Exploring the Design Space of Glanceable Feedback for Physical Activity Trackers,144--155,,12,"behavioral feedback interfaces, glanceable displays, personal informatics, physical activity tracking",10.1145/2971648.2971754,,,,,,,2016,,Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing,UbiComp '16,,978-1-4503-4461-6,"Heidelberg, Germany",ACM,"New York, NY, USA"
article,3154897,https://dl.acm.org/citation.cfm?id=3154897,Zilu  Liang and Bernd  Ploderer and Mario Alberto Chapa-Martell,,,,Is Fitbit Fit for Sleep-tracking?: Sources of Measurement Errors and Proposed Countermeasures,476--479,,4,"HCI, data quality, fitbit, health, personal informatics, sleep, wearable",10.1145/3154862.3154897,,,,,,,2017,,Proceedings of the 11th EAI International Conference on Pervasive Computing Technologies for Healthcare,PervasiveHealth '17,,978-1-4503-6363-1,"Barcelona, Spain",ACM,"New York, NY, USA"
article,3277824,https://dl.acm.org/citation.cfm?id=3277824,Nediyana  Daskalova,,,,Personalized Behavior-Powered Systems for Guiding Self-Experiments,1809--1812,,4,"Self-experiments, personal informatics, self-tracking, sleep recommendations",10.1145/3267305.3277824,,,,,,,2018,,Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers,UbiComp '18,,978-1-4503-5966-5,"Singapore, Singapore",ACM,"New York, NY, USA"
article,3173871,https://dl.acm.org/citation.cfm?id=3173871,Janne  van Kollenburg and Sander  Bogers and Heleen  Rutjes and Eva  Deckers and Joep  Frens and Caroline  Hummels,,,,Exploring the Value of Parent Tracked Baby Data in Interactions with Healthcare Professionals: A Data-Enabled Design Exploration,297:1--297:12,297,12,"data-enabled design, healthcare, personal informatics, situated explorations",10.1145/3173574.3173871,,,,,,,2018,,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,CHI '18,,978-1-4503-5620-6,"Montreal QC, Canada",ACM,"New York, NY, USA"
article,3173654,https://dl.acm.org/citation.cfm?id=3173654,Amon  Rapp,,,,Gamification for Self-Tracking: From World of Warcraft to the Design of Personal Informatics Systems,80:1--80:15,80,15,"gamification, personal informatics, quantified self, self-tracking, world of warcraft",10.1145/3173574.3173654,,,,,,,2018,,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,CHI '18,,978-1-4503-5620-6,"Montreal QC, Canada",ACM,"New York, NY, USA"
article,3156158,https://dl.acm.org/citation.cfm?id=3156158,Ross  Brown and Bernd  Ploderer and Leonard Si Da Seng and Peter  Lazzarini and Jaap  van Netten,,,,MyFootCare: A Mobile Self-tracking Tool to Promote Self-care Amongst People with Diabetic Foot Ulcers,462--466,,5,"diabetic foot ulcer, mobile devices, personal informatics, self-monitoring",10.1145/3152771.3156158,,,,,,,2017,,Proceedings of the 29th Australian Conference on Computer-Human Interaction,OZCHI '17,,978-1-4503-5379-3,"Brisbane, Queensland, Australia",ACM,"New York, NY, USA"
article,2804288,https://dl.acm.org/citation.cfm?id=2804288,Amanda  Lazar and Christian  Koehler and Joshua  Tanenbaum and David H. Nguyen,,,,Why We Use and Abandon Smart Devices,635--646,,12,"personal informatics systems, self tracking, smart devices, wearable devices",10.1145/2750858.2804288,,,,,,,2015,,Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing,UbiComp '15,,978-1-4503-3574-4,"Osaka, Japan",ACM,"New York, NY, USA"
article,2858145,https://dl.acm.org/citation.cfm?id=2858145,Yoojung  Kim and Sookyoung  Ji and Hyunjeong  Lee and Jeong-Whun  Kim and Sooyoung  Yoo and Joongseek  Lee,,,,My Doctor is Keeping an Eye on Me!: Exploring the Clinical Applicability of a Mobile Food Logger,5620--5631,,12,"clinical context, food journaling, lifestyle disease, personal informatics, self-tracking",10.1145/2858036.2858145,,,,,,,2016,,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems,CHI '16,,978-1-4503-3362-7,"San Jose, California, USA",ACM,"New York, NY, USA"
article,3131892,https://dl.acm.org/citation.cfm?id=3131892,Hayeon  Jeong and Heepyung  Kim and Rihun  Kim and Uichin  Lee and Yong  Jeong,,,,Smartwatch Wearing Behavior Analysis: A Longitudinal Study,60:1--60:31,60,31,"Activity Tracker, Personal Informatics, Smartwatch, User Experience, Wearable Device",10.1145/3131892,Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,17-Sep,1,3,,September,2017,2474-9567,,,,,,ACM,"New York, NY, USA"
article,2466140,https://dl.acm.org/citation.cfm?id=2466140,Frank  Bentley and Konrad  Tollmar,,,,The Power of Mobile Notifications to Increase Wellbeing Logging Behavior,1095--1098,,4,"behavior change, logging, mobile, notifications, personal informatics, wellbeing",10.1145/2470654.2466140,,,,,,,2013,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '13,,978-1-4503-1899-0,"Paris, France",ACM,"New York, NY, USA"
article,2858066,https://dl.acm.org/citation.cfm?id=2858066,Daniel A. Epstein and Daniel  Avrahami and Jacob T. Biehl,,,,"Taking 5: Work-Breaks, Productivity, and Opportunities for Personal Informatics for Knowledge Workers",673--684,,12,"knowledge workers, personal informatics, productivity, quantified workplace, visualization, work breaks",10.1145/2858036.2858066,,,,,,,2016,,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems,CHI '16,,978-1-4503-3362-7,"San Jose, California, USA",ACM,"New York, NY, USA"
article,2686623,https://dl.acm.org/citation.cfm?id=2686623,Deborah  Lupton,,,,Self-tracking Cultures: Towards a Sociology of Personal Informatics,77--86,,10,"culture, personal informatics: sociology, self-tracking, selfhood, theory",10.1145/2686612.2686623,,,,,,,2014,,Proceedings of the 26th Australian Computer-Human Interaction Conference on Designing Futures: The Future of Design,OzCHI '14,,978-1-4503-0653-9,"Sydney, New South Wales, Australia",ACM,"New York, NY, USA"
article,2030166,https://dl.acm.org/citation.cfm?id=2030166,Ian  Li and Anind K. Dey and Jodi  Forlizzi,,,,"Understanding My Data, Myself: Supporting Self-reflection with Ubicomp Technologies",405--414,,10,"design features, discovery, personal informatics, phases, reflection, visualizations",10.1145/2030112.2030166,,,,,,,2011,,Proceedings of the 13th International Conference on Ubiquitous Computing,UbiComp '11,,978-1-4503-0630-0,"Beijing, China",ACM,"New York, NY, USA"
article,3016743,https://dl.acm.org/citation.cfm?id=3016743,Zilu  Liang and Bernd  Ploderer and Wanyu  Liu and Yukiko  Nagata and James  Bailey and Lars  Kulik and Yuxuan  Li,,,,SleepExplorer: A Visualization Tool to Make Sense of Correlations Between Personal Sleep Data and Contextual Factors,985--1000,,16,"HCI, Health, Personal informatics, Self-tracking, Sense-making, Sleep",10.1007/s00779-016-0960-6,Personal Ubiquitous Comput.,16-Nov,20,6,,November,2016,1617-4909,,,,,,Springer-Verlag,"London, UK, UK"
article,2804290,https://dl.acm.org/citation.cfm?id=2804290,R&#250;ben  Gouveia and Evangelos  Karapanos and Marc  Hassenzahl,,,,How Do We Engage with Activity Trackers?: A Longitudinal Study of Habito,1305--1316,,12,"behavior change technologies, personal informatics, persuasive technologies, physical activity trackers",10.1145/2750858.2804290,,,,,,,2015,,Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing,UbiComp '15,,978-1-4503-3574-4,"Osaka, Japan",ACM,"New York, NY, USA"
article,3274309,https://dl.acm.org/citation.cfm?id=3274309,Mayara  Costa Figueiredo and Clara  Caldeira and Elizabeth Victoria Eikey and Melissa  Mazmanian and Yunan  Chen,,,,Engaging with Health Data: The Interplay Between Self-Tracking Activities and Emotions in Fertility Struggles,40:1--40:20,40,20,"fertility care, personal informatics health data, self-tracking",10.1145/3274309,Proc. ACM Hum.-Comput. Interact.,18-Nov,2,CSCW,,November,2018,2573-0142,,,,,,ACM,"New York, NY, USA"
article,2557299,https://dl.acm.org/citation.cfm?id=2557299,Matthew  Mauriello and Michael  Gubbels and Jon E. Froehlich,,,,Social Fabric Fitness: The Design and Evaluation of Wearable E-textile Displays to Support Group Running,2833--2842,,10,"fitness, glanceable displays, personal informatics, quantified self, visualization, wearables",10.1145/2556288.2557299,,,,,,,2014,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '14,,978-1-4503-2473-1,"Toronto, Ontario, Canada",ACM,"New York, NY, USA"
article,2984534,https://dl.acm.org/citation.cfm?id=2984534,Nediyana  Daskalova and Dana&#235;  Metaxa-Kakavouli and Adrienne  Tran and Nicole  Nugent and Julie  Boergers and John  McGeary and Jeff  Huang,,,,SleepCoacher: A Personalized Automated Self-Experimentation System for Sleep Recommendations,347--358,,12,"mobile devices, personal informatics, self-experiments, sleep monitoring, sleep recommendations",10.1145/2984511.2984534,,,,,,,2016,,Proceedings of the 29th Annual Symposium on User Interface Software and Technology,UIST '16,,978-1-4503-4189-9,"Tokyo, Japan",ACM,"New York, NY, USA"
