"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3064697","Kwangyoung  Lee and Hwajung  Hong","","","","Designing for Self-Tracking of Emotion and Experience with Tangible Modality","465--475","","11","emotion, mental health, mindtracker, self-tracking","10.1145/3064663.3064697","","","","","","","2017","","Proceedings of the 2017 Conference on Designing Interactive Systems","DIS '17","","978-1-4503-4922-2","Edinburgh, United Kingdom","ACM","New York, NY, USA"
"article","3125507","Amon  Rapp and Federica  Cena and Maurizio  Tirassa and Guido  Boella and Alessia  Calafiore and Roberto  Keller","","","","Tracking Personal Movements in Urban Environments: Personalized Maps for People with Autism Spectrum Disorder","883--886","","4","adaptive support, autism, personalized maps, self-tracking","10.1145/3123024.3125507","","","","","","","2017","","Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers","UbiComp '17","","978-1-4503-5190-4","Maui, Hawaii","ACM","New York, NY, USA"
"article","3130911","Nediyana  Daskalova and Karthik  Desingh and Alexandra  Papoutsaki and Diane  Schulze and Han  Sha and Jeff  Huang","","","","Lessons Learned from Two Cohorts of Personal Informatics Self-Experiments","46:1--46:22","46","22","personal informatics, quantified self, self-tracking","10.1145/3130911","Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.","September 2017","1","3","","September","2017","2474-9567","","","","","","ACM","New York, NY, USA"
"article","2702154","Felicia  Cordeiro and Elizabeth  Bales and Erin  Cherry and James  Fogarty","","","","Rethinking the Mobile Food Journal: Exploring Opportunities for Lightweight Photo-Based Capture","3207--3216","","10","food journals, personal informatics, photos, self-tracking","10.1145/2702123.2702154","","","","","","","2015","","Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems","CHI '15","","978-1-4503-3145-6","Seoul, Republic of Korea","ACM","New York, NY, USA"
"article","2807947","Amon  Rapp and Federica  Cena and Judy  Kay and Bob  Kummerfeld and Frank  Hopfgartner and Till  Plumbaum and Jakob Eg Larsen","","","","New Frontiers of Quantified Self: Finding New Ways for Engaging Users in Collecting and Using Personal Data","969--972","","4","personal informatics, quantified self, self tracking","10.1145/2800835.2807947","","","","","","","2015","","Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers","UbiComp/ISWC'15 Adjunct","","978-1-4503-3575-1","Osaka, Japan","ACM","New York, NY, USA"
"article","3124456","Amon  Rapp and Federica  Cena and Judy  Kay and Bob  Kummerfeld and Frank  Hopfgartner and Till  Plumbaum and Jakob Eg Larsen and Daniel A. Epstein and R&#250;ben  Gouveia","","","","New Frontiers of Quantified Self 3: Exploring Understudied Categories of Users","861--864","","4","personal informatics, quantified self, self-tracking","10.1145/3123024.3124456","","","","","","","2017","","Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers","UbiComp '17","","978-1-4503-5190-4","Maui, Hawaii","ACM","New York, NY, USA"
"article","2858360","Xiaoyi  Zhang and Laura R. Pina and James  Fogarty","","","","Examining Unlock Journaling with Diaries and Reminders for In Situ Self-Report in Health and Wellness","5658--5664","","7","experience sampling, personal informatics, self-tracking","10.1145/2858036.2858360","","","","","","","2016","","Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems","CHI '16","","978-1-4503-3362-7","San Jose, California, USA","ACM","New York, NY, USA"
"article","2882873","Kaiton  Williams","","","","An Anxious Alliance","121--131","","11","autoethnography, experience, quantified-self, self-tracking","10.7146/aahcc.v1i1.21146","","","","","","","2015","","Proceedings of The Fifth Decennial Aarhus Conference on Critical Alternatives","CA '15","","","Aarhus, Denmark","Aarhus University Press",""
"article","3312886","Kyrill  Potapov and Victor R. Lee and Asimina  Vasalou and Paul  Marshall","","","","Youth Concerns and Responses to Self-Tracking Tools and Personal Informatics Systems","LBW1122:1--LBW1122:6","LBW1122","6","education, personal informatics, self-tracking, youth","10.1145/3290607.3312886","","","","","","","2019","","Extended Abstracts of the 2019 CHI Conference on Human Factors in Computing Systems","CHI EA '19","","978-1-4503-5971-9","Glasgow, Scotland Uk","ACM","New York, NY, USA"
"article","3173025","Amid  Ayobi","","","","Informing the Design of Personal Informatics Technologies for Unpredictable Chronic Conditions","DC02:1--DC02:4","DC02","4","chronic conditions, multiple sclerosis, personal informatics, self-monitoring, self-tracking","10.1145/3170427.3173025","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","2968331","Amon  Rapp and Federica  Cena and Judy  Kay and Bob  Kummerfeld and Frank  Hopfgartner and Till  Plumbaum and Jakob Eg Larsen and Daniel A. Epstein and R&#250;ben  Gouveia","","","","New Frontiers of Quantified Self 2: Going Beyond Numbers","506--509","","4","personal informatics, quantified self, self-monitoring, self-tracking, wearable technologies","10.1145/2968219.2968331","","","","","","","2016","","Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct","UbiComp '16","","978-1-4503-4462-3","Heidelberg, Germany","ACM","New York, NY, USA"
"article","3188401","Katta  Spiel and Fares  Kayali and Louise  Horvath and Michael  Penkler and Sabine  Harrer and Miguel  Sicart and Jessica  Hammer","","","","Fitter, Happier, More Productive?: The Normative Ontology of Fitness Trackers","alt08:1--alt08:10","alt08","10","essay, fitness, health, normativity, re-ontologisation, self-tracking","10.1145/3170427.3188401","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3264927","Ravi  Karkar and Rafal  Kocielnik and Xiaoyi  Zhang and Jasmine  Zia and George N. Ioannou and Sean A. Munson and James  Fogarty","","","","Beacon: Designing a Portable Device for Self-Administering a Measure of Critical Flicker Frequency","117:1--117:27","117","27","Critical flicker frequency, cirrhosis, hepatic encephalopathy, self-tracking","10.1145/3264927","Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.","September 2018","2","3","","September","2018","2474-9567","","","","","","ACM","New York, NY, USA"
"article","2804288","Amanda  Lazar and Christian  Koehler and Joshua  Tanenbaum and David H. Nguyen","","","","Why We Use and Abandon Smart Devices","635--646","","12","personal informatics systems, self tracking, smart devices, wearable devices","10.1145/2750858.2804288","","","","","","","2015","","Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing","UbiComp '15","","978-1-4503-3574-4","Osaka, Japan","ACM","New York, NY, USA"
"article","3014058","Ver&#243;nica  Rivera-Pelayo and Angela  Fessl and Lars  M&#252;ller and Viktoria  Pammer","","","","Introducing Mood Self-Tracking at Work: Empirical Insights from Call Centers","3:1--3:28","3","28","Call center, field study, mood self-tracking, reflection, work performance","10.1145/3014058","ACM Trans. Comput.-Hum. Interact.","March 2017","24","1","","February","2017","1073-0516","","","","","","ACM","New York, NY, USA"
"article","3079175","Kim  Sauv&#233; and Steven  Houben and Nicolai  Marquardt and Saskia  Bakker and Bart  Hengeveld and Sarah  Gallacher and Yvonne  Rogers","","","","LOOP: A Physical Artifact to Facilitate Seamless Interaction with Personal Data in Everyday Life","285--288","","4","ambient information systems, physical visualization, self-tracking, shape-changing interfaces","10.1145/3064857.3079175","","","","","","","2017","","Proceedings of the 2017 ACM Conference Companion Publication on Designing Interactive Systems","DIS '17 Companion","","978-1-4503-4991-8","Edinburgh, United Kingdom","ACM","New York, NY, USA"
"article","2858145","Yoojung  Kim and Sookyoung  Ji and Hyunjeong  Lee and Jeong-Whun  Kim and Sooyoung  Yoo and Joongseek  Lee","","","","My Doctor is Keeping an Eye on Me!: Exploring the Clinical Applicability of a Mobile Food Logger","5620--5631","","12","clinical context, food journaling, lifestyle disease, personal informatics, self-tracking","10.1145/2858036.2858145","","","","","","","2016","","Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems","CHI '16","","978-1-4503-3362-7","San Jose, California, USA","ACM","New York, NY, USA"
"article","2892488","Jisoo  Lee and Eric B. Hekler and Emil  Chiauzzi and Auriell  Towner and Marcy  Fitz-Randolph","","","","Helping Users Set Rules for Defining Short-Term Activity Goals","2178--2184","","7","goal-setting, multiple sclerosis, physical activity, self-experimentation, self-tracking","10.1145/2851581.2892488","","","","","","","2016","","Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems","CHI EA '16","","978-1-4503-4082-3","San Jose, California, USA","ACM","New York, NY, USA"
"article","1979573","Ian  Li and Anind  Dey and Jodi  Forlizzi and Kristina  H&#246;&#246;k and Yevgeniy  Medynskiy","","","","Personal Informatics and HCI: Design, Theory, and Social Implications","2417--2420","","4","design, personal informatics, self-tracking, social implications, theory","10.1145/1979742.1979573","","","","","","","2011","","CHI '11 Extended Abstracts on Human Factors in Computing Systems","CHI EA '11","","978-1-4503-0268-5","Vancouver, BC, Canada","ACM","New York, NY, USA"
"article","3274763","Debaleena  Chattopadhyay","","","","Toward a Bayesian Approach for Self-Tracking Personal Pollution Exposures","1166--1171","","6","Environmental sensing, pollution exposure profiling, pollution monitoring, self-tracking","10.1145/3267305.3274763","","","","","","","2018","","Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers","UbiComp '18","","978-1-4503-5966-5","Singapore, Singapore","ACM","New York, NY, USA"
"article","2901803","Rebecca  Gulotta and Jodi  Forlizzi and Rayoung  Yang and Mark Wah Newman","","","","Fostering Engagement with Personal Informatics Systems","286--300","","15","activity trackers, fitness, health, personal informatics, personalization, reflection, self-tracking","10.1145/2901790.2901803","","","","","","","2016","","Proceedings of the 2016 ACM Conference on Designing Interactive Systems","DIS '16","","978-1-4503-4031-1","Brisbane, QLD, Australia","ACM","New York, NY, USA"
"article","3174146","Kwangyoung  Lee and Hwajung  Hong","","","","MindNavigator: Exploring the Stress and Self-Interventions for Mental Wellness","572:1--572:14","572","14","lived informatics, mental wellness, personal informatics, self-tracking, stress management","10.1145/3173574.3174146","","","","","","","2018","","Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems","CHI '18","","978-1-4503-5620-6","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3300359","Alyson L. Young and Andrew D. Miller","","","","&#34;This Girl is on Fire&#34;: Sensemaking in an Online Health Community for Vulvodynia","129:1--129:13","129","13","enigmatic disease, online health communities, self-tracking, sensemaking, vulvodynia","10.1145/3290605.3300359","","","","","","","2019","","Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems","CHI '19","","978-1-4503-5970-2","Glasgow, Scotland Uk","ACM","New York, NY, USA"
"article","2581283","Heather S. Packer and Gustavo  Buzogany and Daniel Alexander Smith and Laura  Dragan and Max  Van Kleek and Nigel R. Shadbolt","","","","The Editable Self: A Workbench for Personal Activity Data","2185--2190","","6","health monitoring, health sensors, interfaces, quantified self, self-tracking","10.1145/2559206.2581283","","","","","","","2014","","CHI '14 Extended Abstracts on Human Factors in Computing Systems","CHI EA '14","","978-1-4503-2474-8","Toronto, Ontario, Canada","ACM","New York, NY, USA"
"article","2414610","Bernd  Ploderer and Wally  Smith and Steve  Howard and Jon  Pearce and Ron  Borland","","","","Things You Don'T Want to Know About Yourself: Ambivalence About Tracking and Sharing Personal Information for Behaviour Change","489--492","","4","ambivalence, behaviour change, persuasive technology, self-tracking, smoking cessation","10.1145/2414536.2414610","","","","","","","2012","","Proceedings of the 24th Australian Computer-Human Interaction Conference","OzCHI '12","","978-1-4503-1438-1","Melbourne, Australia","ACM","New York, NY, USA"
"article","2557679","Farzaneh  Salamati and Zbigniew J. Pasek","","","","Modeling for Personal Well-being: Time for Paradigm Change","11:1--11:5","11","5","individualized health care, obesity, self-tracking, system dynamics","","","","","","","","2013","","Proceedings of the 2013 Grand Challenges on Modeling and Simulation Conference","GCMS '13","","978-1-62748-275-2","Toronto, Ontario, Canada","Society for Modeling &#38; Simulation International","Vista, CA"
"article","3188536","Daniel  Smolyak and Bongshin  Lee and Eun Kyoung  Choe","","","","TandemTrack: Promoting Consistent Exercise Leveraging Multimodal Training and Tracking","LBW543:1--LBW543:6","LBW543","6","exercise assistant, multimodal interaction, self-tracking, smart speaker, voice interaction","10.1145/3170427.3188536","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","2892406","Amid  Ayobi and Paul  Marshall and Anna L. Cox","","","","Reflections on 5 Years of Personal Informatics: Rising Concerns and Emerging Directions","2774--2781","","8","activity tracking, lived informatics, personal informatics, quantified self, self-tracking","10.1145/2851581.2892406","","","","","","","2016","","Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems","CHI EA '16","","978-1-4503-4082-3","San Jose, California, USA","ACM","New York, NY, USA"
"article","2686623","Deborah  Lupton","","","","Self-tracking Cultures: Towards a Sociology of Personal Informatics","77--86","","10","culture, personal informatics: sociology, self-tracking, selfhood, theory","10.1145/2686612.2686623","","","","","","","2014","","Proceedings of the 26th Australian Computer-Human Interaction Conference on Designing Futures: The Future of Design","OzCHI '14","","978-1-4503-0653-9","Sydney, New South Wales, Australia","ACM","New York, NY, USA"
"article","2580935","Max S. Wenger and Jarad  Bell and Peter  McEvoy and Cherie  Yamaguchi and Auriana  Shokrpour","","","","Bloom: Fostering Healthy and Peaceful Pregnancies with Personal Analytics","245--250","","6","body data, persuasive design, quantified self, self-monitoring, self-tracking","10.1145/2559206.2580935","","","","","","","2014","","CHI '14 Extended Abstracts on Human Factors in Computing Systems","CHI EA '14","","978-1-4503-2474-8","Toronto, Ontario, Canada","ACM","New York, NY, USA"
"article","2641318","Jisoo  Lee and Erin  Walker and Winslow  Burleson and Eric B. Hekler","","","","Exploring Users' Creation of Personalized Behavioral Plans","703--706","","4","behavior change, goal-setting, personalized behavioral plan, self-tracking","10.1145/2638728.2641318","","","","","","","2014","","Proceedings of the 2014 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct Publication","UbiComp '14 Adjunct","","978-1-4503-3047-3","Seattle, Washington","ACM","New York, NY, USA"
"article","3154895","Jomara  Binda and Hyehyun  Park and John M. Carroll and Natalie  Cope and Chien Wen (Tina) Yuan and Eun Kyoung Choe","","","","Intergenerational Sharing of Health Data Among Family Members","468--471","","4","collaboration, data sharing, family, health, intergenerational, self-tracking","10.1145/3154862.3154895","","","","","","","2017","","Proceedings of the 11th EAI International Conference on Pervasive Computing Technologies for Healthcare","PervasiveHealth '17","","978-1-4503-6363-1","Barcelona, Spain","ACM","New York, NY, USA"
"article","2858148","Da-jung  Kim and Yeoreum  Lee and Saeyoung  Rho and Youn-kyung  Lim","","","","Design Opportunities in Three Stages of Relationship Development Between Users and Self-Tracking Devices","699--703","","5","human-technology relationship development, self-tracking device, user experience design","10.1145/2858036.2858148","","","","","","","2016","","Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems","CHI '16","","978-1-4503-3362-7","San Jose, California, USA","ACM","New York, NY, USA"
"article","2996748","Marie Louise Juul S&#248;ndergaard and Lone Koefoed Hansen","","","","PeriodShare: A Bloody Design Fiction","113:1--113:6","113","6","Design fiction, menstruation, research through design, self tracking","10.1145/2971485.2996748","","","","","","","2016","","Proceedings of the 9th Nordic Conference on Human-Computer Interaction","NordiCHI '16","","978-1-4503-4763-1","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","3024935","Nanna  Gorm","","","","Personal Health Tracking Technologies in Practice","69--72","","4","doctoral consortium, health and wellness programs, self-tracking, surveillance, workplace","10.1145/3022198.3024935","","","","","","","2017","","Companion of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing","CSCW '17 Companion","","978-1-4503-4688-7","Portland, Oregon, USA","ACM","New York, NY, USA"
"article","3300452","Tabby  Davies and Simon L. Jones and Ryan M. Kelly","","","","Patient Perspectives on Self-Management Technologies for Chronic Fatigue Syndrome","222:1--222:13","222","13","chronic fatigue syndrome, myalgic encephalomyelitis, self-management, self-tracking","10.1145/3290605.3300452","","","","","","","2019","","Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems","CHI '19","","978-1-4503-5970-2","Glasgow, Scotland Uk","ACM","New York, NY, USA"
"article","3277824","Nediyana  Daskalova","","","","Personalized Behavior-Powered Systems for Guiding Self-Experiments","1809--1812","","4","Self-experiments, personal informatics, self-tracking, sleep recommendations","10.1145/3267305.3277824","","","","","","","2018","","Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers","UbiComp '18","","978-1-4503-5966-5","Singapore, Singapore","ACM","New York, NY, USA"
"article","3264911","Nediyana  Daskalova and Bongshin  Lee and Jeff  Huang and Chester  Ni and Jessica  Lundin","","","","Investigating the Effectiveness of Cohort-Based Sleep Recommendations","101:1--101:19","101","19","Sleep, behavior change, self-tracking, sleep hygiene, sleep recommendations","10.1145/3264911","Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.","September 2018","2","3","","September","2018","2474-9567","","","","","","ACM","New York, NY, USA"
"article","3027071","Marketa  Dolejsova and Denisa  Kera and Cristiano  Storni and Rohit Ashok Khot and Ivan John  Clement and Inka  Pavelka and Puneet  Kishor","","","","Digital Health &#38; Self-experimentation: Design Challenges &#38; Provocations","510--517","","8","citizen science, digital health, quantified self, self-experimentation, self-tracking","10.1145/3027063.3027071","","","","","","","2017","","Proceedings of the 2017 CHI Conference Extended Abstracts on Human Factors in Computing Systems","CHI EA '17","","978-1-4503-4656-6","Denver, Colorado, USA","ACM","New York, NY, USA"
"article","2892541","Dawn  Nafus and Pete  Denman and Lenitra  Durham and Omar  Florez and Lama  Nachman and Saurav  Sahay and Evan  Savage and Sangita  Sharma and Devon  Strawn and Rita H. Wouhaybi","","","","As Simple As Possible but No Simpler: Creating Flexibility in Personal Informatics","1445--1452","","8","data literacy, data processing, personal informatics, self-tracking","10.1145/2851581.2892541","","","","","","","2016","","Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems","CHI EA '16","","978-1-4503-4082-3","San Jose, California, USA","ACM","New York, NY, USA"
"article","3173654","Amon  Rapp","","","","Gamification for Self-Tracking: From World of Warcraft to the Design of Personal Informatics Systems","80:1--80:15","80","15","gamification, personal informatics, quantified self, self-tracking, world of warcraft","10.1145/3173574.3173654","","","","","","","2018","","Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems","CHI '18","","978-1-4503-5620-6","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3173017","Nediyana  Daskalova","","","","Personalized Behavior-Powered Systems for Guiding Self-Experiments","DC06:1--DC06:4","DC06","4","personal informatics, self-experiments, self-tracking, sleep recommendations","10.1145/3170427.3173017","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3123164","Gabriella M. Harari and Weichen  Wang and Sandrine R. M&#252;ller and Rui  Wang and Andrew T. Campbell","","","","Participants' Compliance and Experiences with Self-tracking Using a Smartphone Sensing App","57--60","","4","compliance, research design, self-tracking, smartphone sensing methods, user experience","10.1145/3123024.3123164","","","","","","","2017","","Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers","UbiComp '17","","978-1-4503-5190-4","Maui, Hawaii","ACM","New York, NY, USA"
"article","3274309","Mayara  Costa Figueiredo and Clara  Caldeira and Elizabeth Victoria Eikey and Melissa  Mazmanian and Yunan  Chen","","","","Engaging with Health Data: The Interplay Between Self-Tracking Activities and Emotions in Fertility Struggles","40:1--40:20","40","20","fertility care, personal informatics health data, self-tracking","10.1145/3274309","Proc. ACM Hum.-Comput. Interact.","November 2018","2","CSCW","","November","2018","2573-0142","","","","","","ACM","New York, NY, USA"
"article","3016743","Zilu  Liang and Bernd  Ploderer and Wanyu  Liu and Yukiko  Nagata and James  Bailey and Lars  Kulik and Yuxuan  Li","","","","SleepExplorer: A Visualization Tool to Make Sense of Correlations Between Personal Sleep Data and Contextual Factors","985--1000","","16","HCI, Health, Personal informatics, Self-tracking, Sense-making, Sleep","10.1007/s00779-016-0960-6","Personal Ubiquitous Comput.","November  2016","20","6","","November","2016","1617-4909","","","","","","Springer-Verlag","London, UK, UK"
"article","3304203","Ulrich  Neumann and Youngkwan  Cho","","","","A Self-tracking Augmented Reality System","109--115","","7","","10.1145/3304181.3304203","","","","","","","1996","","Proceedings of the ACM Symposium on Virtual Reality Software and Technology","VRST '96","","0-89791-825-8","Hong Kong","ACM","New York, NY, USA"
"article","2802090","Amon  Rapp and Federica  Cena","","","","Affordances for Self-tracking Wearable Devices","141--142","","2","affordances, personal informatics, wearable devices","10.1145/2802083.2802090","","","","","","","2015","","Proceedings of the 2015 ACM International Symposium on Wearable Computers","ISWC '15","","978-1-4503-3578-2","Osaka, Japan","ACM","New York, NY, USA"
"article","2557372","Eun Kyoung  Choe and Nicole B. Lee and Bongshin  Lee and Wanda  Pratt and Julie A. Kientz","","","","Understanding Quantified-selfers' Practices in Collecting and Exploring Personal Data","1143--1152","","10","health, per-sonal informatics, personal analytics, quantified self, self-experimentation., self-monitoring, self-tracking","10.1145/2556288.2557372","","","","","","","2014","","Proceedings of the SIGCHI Conference on Human Factors in Computing Systems","CHI '14","","978-1-4503-2473-1","Toronto, Ontario, Canada","ACM","New York, NY, USA"
"article","3027138","Marie Louise Juul S&#248;ndergaard","","","","Intimate Design: Designing Intimacy As a Critical-Feminist Practice","320--325","","6","IoT, critical design, design fiction, feminist HCI, intimacy, research-through-design, self-tracking, speculative design, wearables","10.1145/3027063.3027138","","","","","","","2017","","Proceedings of the 2017 CHI Conference Extended Abstracts on Human Factors in Computing Systems","CHI EA '17","","978-1-4503-4656-6","Denver, Colorado, USA","ACM","New York, NY, USA"
"article","2838742","Wanyu  Liu and Bernd  Ploderer and Thuong  Hoang","","","","In Bed with Technology: Challenges and Opportunities for Sleep Tracking","142--151","","10","Sleep, design, health, personal informatics, persuasive technology, qualitative study, self-tracking, wellbeing","10.1145/2838739.2838742","","","","","","","2015","","Proceedings of the Annual Meeting of the Australian Special Interest Group for Computer Human Interaction","OzCHI '15","","978-1-4503-3673-4","Parkville, VIC, Australia","ACM","New York, NY, USA"
"article","3205391","Tetiana  Parshakova and Daniel  Saakes","","","","UMorph: Self-Change Tracker to Reflect Yourself to the Future and Past","307--310","","4","embedded system, health, image processing, lifelogging, machine learning, natural user interface, quantified self, self-tracking","10.1145/3197391.3205391","","","","","","","2018","","Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems","DIS '18 Companion","","978-1-4503-5631-2","Hong Kong, China","ACM","New York, NY, USA"
